"id","name","form","type1","type2","Total","hp","attack","defense","sp. atk","sp. def","speed","generation","description"
123,"Scyther",,"Bug","Flying",500,70,110,80,55,80,105,1,"With ninja-like agility and speed, it can create the illusion that there is more than one."
124,"Jynx",,"Ice","Psychic",455,65,50,35,115,95,95,1,"It seductively wiggles its hips as it walks. It can cause people to dance in unison with it."
125,"Electabuzz",,"Electric",,490,65,83,57,95,85,105,1,"Normally found near power plants. They can wander away and cause major blackouts in cities."
126,"Magmar",,"Fire",,495,65,95,57,100,85,93,1,"Its body always burns with an orange glow that enables it to hide perfectly among flames."
127,"Pinsir",,"Bug",,500,65,125,100,55,70,85,1,"If it fails to crush the victim in its pincers, it will swing it around and toss it hard."
128,"Tauros",,"Normal",,490,75,100,95,40,70,110,1,"When it targets an enemy, it charges furiously while whipping its body with its long tails."
129,"Magikarp",,"Water",,200,20,10,55,15,20,80,1,"In the distant past, it was somewhat stronger than the horribly weak descendants that exist today."
130,"Gyarados",,"Water","Flying",540,95,125,79,60,100,81,1,"Rarely seen in the wild. Huge and vicious, it is capable of destroying entire cities in a rage."
131,"Lapras",,"Water","Ice",535,130,85,80,85,95,60,1,"A Pokémon that has been overhunted almost to extinction. It can ferry people across the water."
132,"Ditto",,"Normal",,288,48,48,48,48,48,48,1,"Capable of copying an enemy's genetic code to instantly transform itself into a duplicate of the enemy."
133,"Eevee",,"Normal",,325,55,55,50,45,65,55,1,"Its genetic code is irregular. It may mutate if it is exposed to radiation from element stones."
134,"Vaporeon",,"Water",,525,130,65,60,110,95,65,1,"Lives close to water. Its long tail is ridged with a fin which is often mistaken for a mermaid's."
135,"Jolteon",,"Electric",,525,65,65,60,110,95,130,1,"It accumulates negative ions in the atmosphere to blast out 10,000-volt lightning bolts."
136,"Flareon",,"Fire",,525,65,130,60,95,110,65,1,"When storing thermal energy in its body, its temperature could soar to over 1,600 degrees."
137,"Porygon",,"Normal",,395,65,60,70,85,75,40,1,"A man-made Pokémon that came about as a result of research. It is programmed with only basic motions."
138,"Omanyte",,"Rock","Water",355,35,40,100,90,55,35,1,"Although long extinct, in rare cases, it can be genetically resurrected from fossils."
139,"Omastar",,"Rock","Water",495,70,60,125,115,70,55,1,"A prehistoric Pokémon that died out when its heavy shell made it impossible to catch prey."
140,"Kabuto",,"Rock","Water",355,30,80,90,55,45,55,1,"A Pokémon that was resurrected from a fossil found in what was once the ocean floor eons ago."
141,"Kabutops",,"Rock","Water",495,60,115,105,65,70,80,1,"Its sleek shape is perfect for swimming. It slashes prey with its claws and drains the body fluids."
142,"Aerodactyl",,"Rock","Flying",515,80,105,65,60,75,130,1,"A ferocious, prehistoric Pokémon that goes for the enemy's throat with its serrated, saw-like fangs."
143,"Snorlax",,"Normal",,540,160,110,65,65,110,30,1,"Very lazy. Just eats and sleeps. As its rotund bulk builds, it becomes steadily more slothful."
144,"Articuno",,"Ice","Flying",580,90,85,100,95,125,85,1,"A legendary bird Pokémon that is said to appear to doomed people who are lost in icy mountains."
145,"Zapdos",,"Electric","Flying",580,90,90,85,125,90,100,1,"A legendary bird Pokémon that is said to appear from clouds while dropping enormous lightning bolts."
146,"Moltres",,"Fire","Flying",580,90,100,90,125,85,90,1,"A legendary bird Pokémon. As it flaps its flaming wings, even the night sky will turn red."
147,"Dratini",,"Dragon",,300,41,64,45,50,50,50,1,"Long considered a mythical Pokémon until recently when a small colony was found living underwater."
148,"Dragonair",,"Dragon",,420,61,84,65,70,70,70,1,"A mystical Pokémon that exudes a gentle aura. Has the ability to change climate conditions."
149,"Dragonite",,"Dragon","Flying",600,91,134,95,100,100,80,1,"An extremely rare, seen marine Pokémon. Its intelligence is said to match that of humans."
150,"Mewtwo",,"Psychic",,680,106,110,90,154,90,130,1,"It was created by a scientist after years of horrific gene-splicing and DNA-engineering experiments."
151,"Mew",,"Psychic",,600,100,100,100,100,100,100,1,"So rare that it is still said to be a mirage by many experts. Only a few people have seen it worldwide."
